acc_x,acc_y,acc_z
-552,251,706
-564,302,759
-560,329,729
-531,335,828
-507,261,902
-463,227,875
-332,258,798
-316,295,811
-309,283,877
-263,276,902
-253,287,897
-212,289,873
-204,223,897
-217,124,1019
-216,57,1128
-156,48,1149
-108,40,1124
-92,57,1212
-101,-4,1125
-85,64,1079
-118,75,872
-92,102,897
-96,92,884
-105,84,857
-60,98,927
-115,38,858
-64,3,930
-49,-88,945
-39,-210,939
-7,-265,933
20,-281,941
17,-297,962
14,-320,1013
22,-334,1048
32,-335,1048
56,-329,1018
61,-335,988
59,-357,986
43,-361,1003
42,-402,974
28,-452,960
8,-486,955
-22,-535,938
-32,-584,903
-22,-593,816
-42,-611,810
-50,-685,825
-62,-679,835
-92,-643,760
-108,-628,653
-158,-621,671
-180,-634,713
-201,-641,738
-210,-642,728
-221,-651,700
-226,-648,672
-239,-639,666
-271,-645,662
-295,-638,641
-318,-627,587
-299,-635,495
-314,-579,612
-344,-567,674
-364,-560,733
-379,-554,759
-380,-544,770
-378,-530,780
-395,-499,801
-418,-474,785
-418,-431,756
-392,-389,751
-395,-347,800
-383,-326,839
-391,-320,860
-406,-289,873
-403,-270,846
-362,-285,815
-367,-273,910
-387,-258,954
-384,-224,924
-362,-216,935
-366,-170,962
-335,-147,904
-314,-122,918
-312,-119,940
-315,-103,970
-311,-37,945
-312,11,876
-303,42,874
-301,56,868
-280,38,860
-275,57,899
-271,62,918
-263,74,955
-228,100,981
-233,125,976
-262,133,1001
-301,158,1071
-320,201,1077
-291,259,997
-236,298,920
-189,343,991
-197,349,1056
-226,409,1050
-197,476,934
-144,485,838
-144,456,819
-179,431,841
-227,399,867
-234,413,844
-217,437,809
-202,438,774
-210,403,814
-254,374,866
-239,356,827
-206,342,771
-179,326,735
-174,323,761
-197,336,827
-152,355,820
-75,348,784
3,291,748
78,198,738
165,159,756
207,184,817
78,252,1035
10,318,1338
49,320,1479
165,249,1424
302,153,1148
399,84,1125
444,25,1055
404,-29,1085
349,-72,1076
339,-52,1095
311,-36,1057
308,-42,991
274,-47,944
232,-69,953
205,-120,964
195,-150,978
180,-173,961
157,-202,928
125,-238,935
80,-256,992
52,-266,1037
70,-315,1004
45,-335,973
20,-331,950
-30,-352,964
-82,-379,988
-99,-414,962
-45,-440,868
-106,-392,889
-139,-369,910
-154,-425,812
-194,-467,771
-254,-497,772
-272,-483,750
-293,-428,810
-292,-405,791
-308,-427,707
-332,-443,694
-371,-433,772
-372,-378,812
-376,-309,831
-406,-256,836
-424,-206,801
-430,-156,752
-428,-126,774
-417,-105,772
-417,-13,826
-408,43,797
-435,61,864
-458,119,897
-454,170,917
-428,198,958
-400,199,847
-435,168,898
-484,182,953
-472,221,1001
-430,234,924
-392,231,828
-348,255,783
-380,275,828
-401,299,877
-375,308,871
-376,327,857
-272,323,870
-294,257,894
-297,238,942
-258,235,1027
-225,172,977
-262,41,984
-193,8,1027
-200,10,921
-210,-11,876
-177,-88,905
-127,-84,1006
-144,-160,1004
-148,-167,1133
-139,-133,1153
-128,-134,1099
-101,-138,1018
-96,-142,971
-105,-185,953
-116,-216,982
-143,-249,1046
-154,-271,1065
-149,-291,1030
-154,-325,960
-188,-381,946
-215,-419,967
-212,-428,945
-226,-437,913
-249,-460,900
-278,-483,846
-325,-508,858
-332,-513,829
-352,-522,770
-369,-523,721
-398,-537,713
-429,-519,724
-461,-565,740
-492,-560,692
-496,-566,564
-537,-558,548
-559,-506,573
-562,-447,501
-584,-433,410
-597,-457,393
-621,-452,388
-605,-336,461
-610,-246,585
-648,-225,634
-660,-209,609
-669,-168,624
-695,-122,712
-710,-91,771
-681,-46,699
-644,5,551
-641,92,673
-690,187,868
-657,225,763
-630,213,700
-623,242,768
-621,255,764
-595,288,785
-579,311,766
-550,363,734
-504,369,720
-459,336,648
-460,327,715
-450,316,781
-385,323,747
-340,329,733
-330,299,867
-293,312,998
-349,310,1106
-312,324,1077
-304,336,1074
-250,335,934
-162,307,925
-129,278,1047
-99,278,1155
-86,255,1196
-119,219,1089
-138,203,920
-140,166,815
-125,113,797
-93,78,936
-81,17,961
-77,-15,979
-86,-9,973
-72,-4,925
-72,-10,921
-74,-66,941
-72,-147,1008
-60,-212,1054
-81,-218,1047
-106,-199,991
-37,-198,956
-46,-217,998
-19,-222,1056
-63,-226,1047
-67,-236,1059
-75,-226,1042
-64,-198,1037
-94,-193,1014
-131,-207,988
-153,-241,962
-187,-262,963
-220,-279,985
-198,-285,940
-214,-285,915
-236,-273,883
-259,-254,892
-294,-266,905
-303,-268,897
-294,-260,882
-295,-239,854
-308,-209,837
-320,-200,789
-334,-150,819
-362,-104,808
-351,-70,821
-349,0,827
-350,39,739
-299,118,837
-240,198,938
-258,125,1044
-281,109,1204
-293,120,1124
-264,127,930
-226,151,883
-277,140,1002
-369,148,1116
-357,148,1052
-262,144,839
-210,168,779
-235,162,825
-287,176,945
-279,175,907
-247,174,806
-230,215,767
-186,225,706
-183,232,791
-207,251,930
-178,264,986
-92,308,943
16,347,877
77,405,867
46,435,982
5,435,1143
19,384,1205
49,315,1309
107,198,1354
113,58,1346
121,22,1323
131,24,1143
146,-23,916
95,-64,895
26,-86,905
14,-52,964
38,-28,932
59,-6,895
55,-48,907
44,-123,896
42,-152,954
32,-185,974
26,-231,970
5,-255,989
-17,-285,1014
-15,-310,1017
-19,-308,1009
-23,-300,983
-34,-317,963
-47,-337,975
-76,-325,997
-108,-322,1031
-98,-355,1017
-132,-359,1022
-121,-352,957
-142,-341,926
-173,-355,883
-236,-362,898
-266,-392,926
-258,-398,917
-249,-391,841
-281,-393,772
-337,-425,806
-344,-443,793
-350,-461,720
-340,-478,644
-376,-506,619
-403,-523,668
-415,-508,716
-423,-491,672
-424,-457,634
-436,-470,631
-453,-500,690
-445,-494,726
-429,-481,683
-427,-485,666
-426,-487,678
-427,-497,723
-458,-481,777
-471,-460,824
-463,-473,807
-452,-488,797
-418,-502,733
-400,-507,667
-410,-461,718
-388,-408,854
-410,-406,825
-416,-379,770
-400,-284,814
-426,-219,875
-433,-197,850
-436,-194,864
-440,-189,907
-418,-191,898
-396,-189,888
-400,-170,936
-409,-155,913
-399,-119,902
-411,-80,895
-407,-42,864
-415,0,842
-422,55,818
-420,101,799
-407,137,815
-358,166,806
-347,127,842
-373,142,945
-384,201,996
-367,233,914
-318,251,889
-307,222,886
-317,228,992
-328,233,1056
-310,240,1051
-284,259,1012
-255,275,964
-256,235,981
-254,204,1063
-286,221,1151
-291,298,1092
-246,354,1008
-235,333,946
-259,312,974
-269,322,1029
-276,346,1047
-253,361,983
-232,368,916
-224,351,865
-220,331,838
-246,336,849
-261,348,884
-261,384,877
-242,409,827
-236,410,777
-237,384,764
-260,349,820
-283,326,892
-278,314,958
-263,298,983
-238,323,1031
-187,270,827
-169,156,772
-190,43,830
-198,-15,991
-191,-61,1045
-121,-91,1032
-87,-132,1021
-79,-99,1047
-89,-81,998
-103,-124,961
-118,-212,941
-81,-264,989
-66,-262,1015
-86,-181,982
-131,-104,944
-157,-129,839
-154,-179,806
-164,-266,953
-176,-336,1035
-146,-349,981
-125,-295,969
-116,-218,987
-123,-184,986
-108,-189,956
-111,-222,915
-119,-285,942
-127,-308,995
-151,-299,985
-185,-302,944
-192,-332,892
-241,-340,872
-284,-359,859
-287,-347,840
-289,-336,820
-298,-385,751
-309,-479,720
-308,-489,757
-291,-460,762
-288,-452,732
-301,-479,778
-285,-467,826
-270,-461,797
-260,-452,775
-273,-422,769
-282,-408,782
-268,-412,811
-260,-395,946
-264,-372,1007
-251,-357,1014
-242,-344,988
-227,-325,948
-231,-331,956
-234,-358,988
-254,-359,1027
-268,-335,1028
-275,-279,987
-293,-255,917
-300,-226,855
