acc_x,acc_y,acc_z
-33,256,1232
-184,372,833
-236,373,170
-118,184,133
-9,-193,718
-22,-347,1104
-4,-277,1222
54,-279,1510
62,-238,1731
59,-123,1439
74,-1,1185
-9,141,1273
-128,203,1212
-160,241,922
-149,277,460
-89,-13,229
-72,-207,653
-82,-161,1088
-45,-41,1258
0,-163,1415
-8,-322,1637
0,-218,1510
67,-65,1151
22,42,1233
-101,188,1296
-194,381,1132
-239,561,598
-137,203,135
-82,-201,358
-116,-47,915
-45,267,1368
-30,129,1666
-73,-53,1802
-23,12,1487
55,220,1154
48,274,1156
1,340,1259
-77,338,1171
-165,495,954
-216,562,538
-116,107,275
-61,-164,643
-56,47,1129
-57,207,1480
-82,90,1603
-70,-60,1493
-54,-44,1263
6,96,1150
-18,199,1229
-56,263,1328
-127,349,1214
-180,499,909
-177,422,472
-136,-96,332
-157,-162,801
-145,139,1165
-137,269,1414
-172,34,1487
-164,-37,1399
-117,45,1017
-62,145,813
-37,159,855
-81,191,1034
-145,175,1061
-228,148,1070
-270,203,782
-167,126,555
-95,60,674
-59,143,1016
-52,209,1420
-58,6,1609
-20,-240,1602
29,-176,1679
120,-25,1446
78,-23,1347
-111,95,1263
-239,215,720
-296,376,179
-214,322,63
-121,-25,562
-71,-145,957
35,-18,1242
77,-18,1602
107,-182,1900
57,-172,1815
98,2,1217
43,33,930
-48,-17,878
-156,50,906
-233,420,808
-146,511,559
1,-11,678
8,-319,1067
19,-261,1315
39,-358,1568
138,-564,1990
237,-281,2110
264,194,1406
20,219,948
-237,-52,531
-325,-364,263
-290,34,377
-225,357,716
-120,167,771
13,-53,858
103,-132,1071
151,-202,1518
159,-671,2020
140,-959,2317
199,-418,1921
131,71,1327
-5,167,1107
-143,-94,727
-244,-204,410
-304,230,465
-198,476,606
-40,-38,738
4,-449,854
13,-398,1176
32,-403,1555
46,-445,1989
25,-198,1797
52,107,1119
1,12,909
-108,-118,890
-199,-200,739
-291,128,667
-212,499,601
-91,238,622
-16,-143,970
6,-300,1346
-2,-442,1597
51,-429,1865
15,-171,1723
83,89,1098
-19,14,969
-93,19,961
-176,80,776
-243,394,641
-176,518,681
-29,14,717
-6,-294,912
1,-236,1264
28,-314,1740
30,-340,1967
77,-95,1475
37,5,1051
-27,-24,1028
-131,-63,894
-233,184,746
-242,616,515
-90,343,413
0,-139,848
4,-340,1324
66,-564,1768
94,-472,1973
111,-61,1432
68,58,1049
-55,-57,1042
-172,-76,966
-272,270,666
-192,490,334
-4,123,542
4,-299,1024
-13,-589,1426
67,-664,1901
79,-329,1748
79,-11,1120
26,-23,1034
-122,-130,1158
-241,69,1122
-233,605,667
-70,310,160
-44,-214,682
-130,-239,1476
-108,-190,1557
-32,-234,1409
-95,-119,1501
-98,192,1300
-105,372,952
-96,338,825
-111,125,752
-166,-2,769
-280,135,649
-239,203,624
-52,-18,721
-26,-199,885
-33,-308,1195
100,-445,1907
72,-415,2221
131,-20,1379
46,120,1127
-53,108,1175
-153,96,938
-215,355,534
-121,299,233
-48,-60,701
-108,-250,1176
-112,-147,1276
-61,-101,1360
-65,-101,1559
-79,54,1449
-45,211,1048
-38,239,999
-86,205,1035
-162,134,886
-272,417,655
-228,486,267
-43,195,539
-45,0,1202
-76,-3,1715
-49,-226,1926
-81,-157,1929
-19,233,1174
-53,335,931
-65,282,1077
-108,174,1092
-136,184,913
-180,353,598
-189,255,336
-149,-49,489
-144,-111,928
-100,-113,1233
-77,-274,1599
-17,-200,2030
-13,78,1496
31,120,1058
-127,103,1120
-246,52,909
-215,88,574
-212,270,295
-133,182,369
-124,-176,698
-88,-377,1090
-6,-445,1477
5,-318,1862
-38,-132,1728
52,-86,1250
-29,107,1147
-180,289,1121
-214,509,851
-173,492,332
-69,21,194
-94,-203,911
-78,-96,1500
-49,-114,1584
-83,-246,1618
-72,-162,1580
3,19,1267
30,176,1133
-57,178,1197
-156,218,1022
-269,296,603
-273,411,312
-100,247,331
-17,-38,864
-2,-24,1451
-52,-41,1767
-23,-218,1810
-34,-149,1562
-17,76,1161
-12,160,991
-62,132,1088
-167,403,1168
-236,1070,939
-118,823,247
4,-226,317
-127,-249,1283
-97,268,1898
-155,219,1791
-204,204,1325
-144,271,904
-55,296,865
-11,227,1109
-91,213,1218
-143,333,1063
-265,655,632
-263,485,72
-96,161,309
-25,100,1140
-33,155,1890
-85,-77,1985
-71,-166,1695
-45,102,1191
-18,265,946
-31,197,1057
-89,297,1185
-198,621,1015
-155,767,408
-50,152,221
-54,-119,751
-50,-65,1294
-22,-116,1820
-73,-100,1741
25,126,1244
69,134,961
-39,103,1039
-224,431,985
-216,560,526
-88,151,325
10,-65,807
-17,-100,1206
13,-10,1415
48,-35,1311
93,-90,1232
166,-226,1200
164,-233,1279
154,-171,1274
73,14,1246
-118,250,1106
-246,549,843
-73,630,449
206,375,654
237,205,1372
167,106,2011
71,-271,2072
80,-276,1697
117,59,1102
93,251,818
13,200,805
-58,132,881
-160,192,941
-249,382,784
-140,304,459
-50,18,436
-63,-61,851
-30,21,1313
-43,-122,1663
1,-174,1818
73,17,1571
112,113,1067
60,110,973
-35,28,1016
-122,-19,896
-200,137,752
-134,336,615
-35,173,487
37,-18,808
46,-5,1294
42,-113,1687
46,-366,1815
85,-276,1656
121,38,1297
76,190,1029
-62,227,963
-158,219,978
-227,419,753
-152,433,420
-46,81,497
-29,-120,1028
-42,-47,1388
-47,-177,1493
-12,-384,1558
9,-209,1538
40,85,1163
-10,181,928
-61,132,934
-142,124,975
-217,450,841
-150,561,462
-17,201,501
21,11,1122
-3,71,1579
-14,-147,1674
4,-342,1825
42,-95,1466
81,166,1038
36,112,952
-85,49,1042
-195,264,1068
-225,747,751
-64,422,254
13,-50,724
-29,-84,1490
-42,-50,1805
-39,-317,1611
-27,-200,1497
3,92,1101
0,168,851
-20,38,891
-125,-97,1026
-252,267,1050
-235,791,598
-24,550,313
47,91,822
-2,46,1695
-70,-206,2116
-10,-584,2034
71,-34,1863
183,552,1316
106,482,1185
-162,141,1129
-364,-74,545
-330,342,-25
-66,729,-122
80,332,617
2,42,1496
4,-273,1937
55,-724,2016
89,-504,1882
71,85,1592
71,374,1187
-32,273,1103
-185,237,1092
-267,453,616
-146,611,-128
75,369,257
-11,-12,1262
-26,-130,1937
-20,-364,2074
-10,-164,1739
5,284,1339
23,432,1156
-83,440,1248
-122,342,1066
-208,518,698
-184,489,-98
-83,44,-44
-91,-71,872
-55,-68,1606
-83,-352,2075
-91,-311,1912
1,86,1330
-48,170,1064
-115,110,1094
-198,133,953
-241,369,449
-161,455,102
-68,172,550
-71,-215,1179
-62,-490,1639
-7,-843,1994
77,-513,2359
188,339,1630
-14,309,1159
-259,41,827
-391,1,251
-273,524,-213
-1,773,28
87,371,941
25,-37,1852
0,-764,2467
7,-950,2380
97,41,1611
99,428,1015
-12,214,1118
-167,-5,1225
-271,-25,715
-271,512,140
-107,784,-106
85,261,661
26,-90,1638
84,-424,2180
34,-698,2244
134,-107,1776
113,417,1267
42,384,1167
-82,182,1109
-228,286,950
-274,798,242
-123,739,-198
107,117,546
10,28,1831
-45,-106,2325
-33,-289,1950
-12,125,1498
-20,434,1006
-38,342,966
-27,86,1103
-77,-23,1155
-223,263,755
-268,854,19
-50,751,63
128,417,1053
60,343,2059
21,-206,2473
-79,-468,2226
59,286,1369
16,664,867
-53,612,1057
-73,523,1264
-134,505,970
-171,736,179
-136,480,-174
-29,162,551
-56,114,1348
-70,131,1648
-61,-161,1765
-122,-88,1654
-10,203,1323
21,266,1217
-26,332,1355
-88,340,1202
-200,565,811
-204,792,203
-32,394,227
14,-4,913
-23,26,1725
-55,-301,1954
-15,-533,1834
28,-191,1547
64,68,1429
62,122,1585
-68,145,1567
-196,60,783
-195,198,159
-219,570,75
-192,375,339
-95,-35,876
-58,-459,1316
-28,-880,1884
29,-1090,1937
82,-574,1704
-17,-65,1296
-118,-98,1004
-151,-321,666
-244,-133,572
-276,444,384
-177,627,270
-49,263,863
23,23,1435
80,21,1610
109,-132,1625
107,-324,1894
55,-277,1805
59,86,1367
47,331,1338
15,364,1255
-54,221,1063
-201,38,586
-318,204,145
-283,430,80
-106,377,722
2,60,1189
34,-121,1352
49,-236,1667
52,-336,2105
5,-118,1896
55,177,1433
28,355,1281
-45,377,1208
-108,261,911
-193,214,447
-242,365,266
-159,363,462
-72,14,830
-67,-111,1115
-58,-30,1398
-48,-162,1698
-102,-351,1922
-5,-120,1705
29,306,1317
-54,298,1266
-178,183,770
-299,-23,-78
-293,197,-127
-223,466,594
-96,202,1126
18,-55,1330
45,-191,1507
58,-373,1914
62,-473,2151
97,-160,1758
100,314,1564
33,365,1429
-65,247,1084
-241,122,315
-292,319,-240
-208,481,193
-75,65,845
-5,-202,1177
0,-164,1344
57,-260,1669
48,-359,2000
40,-160,1673
50,154,1240
-36,144,1067
-130,3,909
-241,96,582
-223,506,231
-59,424,307
-4,2,999
-53,-244,1518
-22,-462,1769
21,-514,1872
27,-220,1624
76,174,1310
1,146,1156
-79,-56,1144
-178,-76,764
-286,59,405
-197,372,348
-109,169,384
-35,-71,783
11,-136,1174
43,-232,1536
35,-417,1885
63,-513,1702
95,-221,1426
42,-17,1170
-10,-10,1100
