acc_x,acc_y,acc_z,prediction
273,-193,959,0.792763
307,-184,937,0.337346
291,-234,887,0.636740
284,-275,882,1.075290
300,-297,912,0.156022
295,-307,924,0.657824
315,-283,907,0.653607
327,-279,894,0.594572
305,-330,890,0.025301
295,-367,886,0.000000
334,-318,900,0.000000
323,-326,885,0.000000
252,-350,721,0.000000
261,-333,486,0.004217
238,-185,137,0.033735
385,433,-309,0.708426
519,1024,-278,0.847581
101,944,925,0.830714
-177,-18,3733,0.088553
-229,276,3703,0.864448
56,1879,873,0.594572
466,1267,-1121,0.872882
338,241,-913,0.822280
257,254,324,0.581921
181,581,958,0.746377
-273,30,2134,0.484935
-344,-157,2513,0.615656
39,597,1035,0.868665
113,229,803,0.695776
86,266,1275,0.940351
65,294,1428,0.826497
81,307,1230,0.632523
180,378,1039,0.716860
225,413,916,0.919267
198,335,927,0.274093
163,242,1020,0.915050
174,227,1051,0.843364
231,286,949,0.000000
241,340,781,1.003604
204,301,753,0.927701
272,261,834,0.484935
380,285,950,0.565054
421,266,975,1.075290
391,231,924,0.514452
390,172,886,0.733727
379,124,862,0.737944
435,98,854,1.075290
487,132,853,0.143372
522,168,828,0.999387
520,170,806,1.075290
507,122,791,1.075290
471,106,770,0.548187
491,98,784,0.902400
540,140,769,0.603006
562,185,740,0.957219
554,204,727,0.358430
523,180,730,1.062639
505,171,748,0.969869
487,166,766,0.721077
516,229,756,0.885533
550,322,763,0.299394
475,342,733,1.007820
380,300,747,0.893966
298,337,676,0.784329
298,416,516,0.548187
557,515,819,1.075290
470,550,846,0.936134
402,539,883,0.780112
361,516,883,0.788546
318,503,868,0.029518
308,526,865,0.312045
342,530,881,0.240359
296,530,856,0.506019
254,532,869,0.000000
228,532,928,0.139155
177,492,964,0.198191
188,457,969,0.016867
172,503,944,0.000000
161,523,898,0.000000
127,469,835,0.000000
136,441,853,0.000000
163,405,936,0.084336
147,352,1015,0.000000
138,358,1030,0.130721
133,350,979,0.130721
125,319,953,0.021084
138,299,977,0.075903
113,247,972,0.231925
118,238,992,0.236142
123,250,953,0.299394
98,208,912,0.000000
75,71,916,0.096987
75,19,943,0.000000
85,18,962,0.000000
93,16,1013,0.042168
111,13,1047,0.118071
89,-29,1001,0.000000
95,-51,970,0.210841
103,-61,943,0.210841
116,-70,943,0.029518
128,-92,977,0.118071
122,-115,996,0.008434
119,-140,1022,0.000000
110,-164,1009,0.000000
114,-258,989,0.000000
180,-58,1044,0.000000
123,-201,915,0.000000
164,-186,917,0.000000
161,-214,931,0.042168
177,-239,950,0.000000
186,-245,979,0.000000
181,-239,979,0.000000
189,-241,961,0.000000
198,-248,959,0.000000
203,-261,954,0.000000
203,-272,942,0.000000
233,-259,948,0.000000
240,-252,965,0.000000
267,-225,1005,0.000000
285,-223,993,0.000000
217,-352,874,0.000000
217,-367,883,0.000000
281,-289,920,0.000000
327,-257,906,0.000000
340,-247,904,0.000000
259,-343,849,0.000000
267,-350,802,0.000000
343,-266,780,0.000000
416,-256,824,0.000000
373,-255,787,0.000000
393,-205,817,0.000000
377,-196,941,0.000000
371,-175,1019,0.000000
467,-159,1088,0.000000
474,-228,1145,0.000000
452,-325,1306,0.000000
410,-309,1323,0.004217
430,-161,1066,0.054819
430,-10,379,0.185540
370,233,-804,0.856015
258,1914,856,0.906617
-217,273,3630,0.632523
187,745,3997,0.603006
168,2211,1981,0.834931
478,2177,-1451,1.075290
604,679,-2471,0.902400
271,501,-360,0.843364
33,969,952,1.075290
-359,197,3081,0.514452
-397,-278,3776,0.628306
-82,1421,1258,0.590355
513,1634,-909,0.716860
402,803,-844,1.075290
162,586,597,0.969869
31,599,1671,0.784329
-115,75,2345,0.522886
-73,331,1710,0.839148
193,777,695,0.000000
171,487,564,1.075290
225,407,798,0.729510
256,527,731,0.000000
230,513,772,0.750594
146,418,909,1.075290
103,391,1008,0.552404
99,408,1044,0.691559
162,483,950,1.075290
200,506,779,1.075290
173,441,741,0.969869
180,404,881,0.000000
157,359,962,0.986736
173,327,1006,0.691559
205,329,915,1.075290
235,331,821,0.603006
245,282,808,1.075290
243,223,863,0.375297
239,196,915,0.033735
257,206,935,1.075290
233,163,904,0.080120
238,159,856,1.075290
246,146,822,1.075290
252,131,873,0.430116
252,140,938,0.678908
266,209,970,0.295178
244,218,949,0.366863
197,180,926,0.915050
172,178,916,1.075290
178,190,949,0.628306
166,165,996,0.628306
166,145,1059,1.075290
160,148,1059,0.936134
165,130,1032,0.425899
177,116,1008,0.809630
186,107,986,0.830714
199,104,976,0.733727
208,98,984,0.210841
204,80,986,0.953002
212,80,1009,0.910834
210,78,1002,0.000000
198,68,1000,0.657824
197,82,1033,0.307828
197,110,1054,0.307828
194,121,1059,0.000000
201,116,1049,0.000000
199,76,1019,0.004217
153,-14,937,0.000000
218,43,958,0.000000
270,78,999,0.000000
305,118,1026,0.000000
269,77,1016,0.113854
122,-82,939,0.004217
158,-95,923,0.000000
286,30,943,0.000000
340,98,927,0.000000
336,90,925,0.000000
263,-13,897,0.000000
276,-50,929,0.000000
386,22,888,0.000000
438,94,826,0.000000
448,94,857,0.000000
406,9,912,0.000000
416,-27,963,0.000000
475,12,1000,0.000000
503,49,981,0.050602
478,26,941,0.168673
482,-46,960,0.000000
471,-153,1006,0.000000
475,-228,1142,0.000000
444,-280,1168,0.004217
349,-238,744,0.000000
173,-153,-529,0.468067
377,791,-2070,0.910834
