acc_x,acc_y,acc_z,lr_vel,lr_dir,ud_vel,ud_dir
-89,-29,953,,,,
-89,-25,965,,,,
-91,-25,966,,,,
-104,-37,926,,,,
-182,-23,1129,,,,
-200,-20,715,,,,
-87,-17,1070,,,,
-70,-13,839,,,,
-70,-18,1050,,,,
-87,-5,855,,,,
-94,-1,1042,,,,
-125,-11,908,,,,
-127,-13,1123,,,,
-196,-2,947,,,,
-159,-5,1092,,,,
-186,12,960,,,,
-136,7,1172,,,,
-130,19,1163,,,,
-124,3,943,,,,
-97,35,966,,,,
-164,33,741,,,,
-106,12,1139,,,,
-162,10,522,,,,
-153,23,1049,,,,
-216,0,790,,,,
-173,13,810,,,,
-186,19,1077,,,,
-182,18,1587,,,,
-196,7,707,,,,
-143,36,1337,,,,
-130,30,766,,,,
-140,25,960,,,,
-142,49,1420,,,,
-162,49,965,,,,
-136,20,863,,,,
-140,25,1062,,,,
-158,58,945,,,,
-132,47,415,,,,
-177,34,1797,,,,
-146,14,592,,,,
-129,27,1272,,,,
-155,-8,-31,,,,
-108,48,1097,,,,
-165,50,1191,,,,
-159,48,1786,,,,
-168,52,301,,,,
-4,23,1300,,,,
-115,-7,240,,,,
-102,58,2067,,,,
-106,27,1364,,,,
-120,51,657,,,,
-84,25,583,,,,
-132,11,286,,,,
-104,0,401,,,,
-159,44,1707,,,,
-195,20,1847,,,,
-133,10,1026,,,,
-132,42,1351,,,,
-87,16,1412,,,,
-132,-17,1319,,,,
-130,-41,1281,,,,
-113,1,678,,,,
-112,5,729,,,,
-172,2,1524,,,,
-124,45,188,,,,
-105,-49,1372,,,,
-130,0,945,,,,
-111,6,1606,,,,
-118,-15,1052,,,,
-23,19,2340,,,,
-19,6,1271,,,,
-117,20,732,,,,
-50,13,2283,,,,
-107,33,1487,,,,
-55,29,699,,,,
-148,-13,810,,,,
-96,3,279,,,,
-81,54,1026,,,,
-123,33,983,,,,
-34,8,677,,,,
-118,27,1743,,,,
-79,-11,2021,,,,
-40,-9,1254,,,,
-123,-33,396,,,,
-115,-21,1109,,,,
-113,-65,653,,,,
-51,-60,717,,,,
-149,-22,165,,,,
-60,-84,943,,,,
-44,-70,479,,,,
83,-19,2316,,,,
-90,-34,387,,,,
43,-28,2165,,,,
-143,-43,-89,,,,
30,32,2256,,,,
-163,-21,480,,,,
-81,-64,557,,,,
-26,-45,1029,,,,
-133,-27,603,,,,
39,-63,838,,,,
-111,-52,726,,,,
79,-44,1352,,,,
-85,-23,602,,,,
-90,45,1533,,,,
-52,-110,758,,,,
-43,17,1317,,,,
-118,-43,1207,,,,
-60,-64,-5,,,,
-45,-128,1186,,,,
9,-73,2506,,,,
11,-83,66,,,,
33,-136,1455,,,,
-41,18,1376,,,,
8,-40,1203,,,,
-48,-2,-603,,,,
34,31,2735,,,,
-9,-19,-620,,,,
-46,17,1098,,,,
-4,41,2092,,,,
-19,-7,891,,,,
-34,33,552,,,,
13,12,2316,,,,
1,-41,-18,,,,
-4,22,683,,,,
-31,-33,1967,,,,
101,55,1040,,,,
-5,-64,-262,,,,
-40,39,2050,,,,
142,-7,896,,,,
56,-61,224,,,,
49,-51,413,,,,
28,32,1194,,,,
-5,6,920,,,,
58,59,752,,,,
30,51,1248,,,,
68,-48,1079,,,,
44,-30,472,,,,
-38,62,1377,,,,
-22,-10,381,,,,
-11,47,952,,,,
-62,92,1047,,,,
22,91,558,,,,
-28,16,957,,,,
-77,61,1017,,,,
13,58,456,,,,
44,-6,1599,,,,
14,-41,768,,,,
7,46,747,,,,
-20,128,648,,,,
21,75,1397,,,,
37,-41,567,,,,
49,9,1602,,,,
-40,103,1093,,,,
78,70,462,,,,
97,15,2245,,,,
-9,-53,1483,,,,
36,19,1265,,,,
118,-46,820,,,,
79,-46,567,,,,
124,-80,726,,,,
88,16,806,,,,
102,-36,1026,,,,
159,-12,682,,,,
51,24,1061,,,,
59,3,495,,,,
174,-11,1846,,,,
59,-14,1403,,,,
68,16,812,,,,
96,-49,740,,,,
109,1,904,,,,
58,-2,1265,,,,
52,-19,966,,,,
53,1,1056,,,,
81,-56,857,,,,
-22,-33,91,,,,
4,60,1095,,,,
23,25,1184,,,,
82,30,1257,,,,
71,-53,996,,,,
38,-11,1140,,,,
25,-62,617,,,,
-16,-32,1247,,,,
65,5,1058,,,,
63,-7,1078,,,,
23,-56,571,,,,
17,0,880,,,,
64,56,695,,,,
39,-5,1000,,,,
5,-3,901,,,,
41,0,616,,,,
64,-20,1410,,,,
34,66,1014,,,,
42,5,815,,,,
54,-3,1278,,,,
61,74,1074,,,,
22,-4,595,,,,
49,35,569,,,,
36,33,1351,,,,
40,-25,584,,,,
-4,23,425,,,,
60,39,1228,,,,
61,20,1033,,,,
64,-16,892,,,,
17,17,1070,,,,
28,20,1450,,,,
47,-2,1263,,,,
58,-23,1054,,,,
47,-13,1150,,,,
-12,18,1118,,,,
50,-12,1336,,,,
42,-40,499,,,,
5,26,1326,,,,
34,8,863,,,,
86,30,1271,,,,
80,-71,799,,,,
47,-61,1287,,,,
101,-92,1688,,,,
58,-109,684,,,,
60,-62,1285,,,,
29,-31,668,,,,
43,-52,879,,,,
64,-23,886,,,,
37,-59,339,,,,
103,-15,522,,,,
61,-74,1046,,,,
61,-15,1732,,,,
60,-27,1066,,,,
72,-77,28,,,,
64,16,1077,,,,
102,-14,864,,,,
92,-40,995,,,,
91,-44,1118,,,,
27,-11,1182,,,,
45,-10,878,,,,
93,-22,1619,,,,
71,-37,920,,,,
48,13,779,,,,
63,-21,1059,,,,
27,-4,1051,,,,
83,-20,910,,,,
82,-34,627,,,,
40,-3,691,,,,
44,3,1090,,,,
72,-28,634,,,,
74,45,1219,,,,
19,-73,823,,,,
116,-61,1686,,,,
99,8,1072,,,,
111,35,732,,,,
79,10,1961,,,,
77,-3,755,,,,
71,-83,170,,,,
63,15,2273,,,,
106,-32,1333,,,,
16,-45,297,,,,
34,-7,726,,,,
6,-36,906,,,,
32,-9,1460,,,,
49,-81,646,,,,
55,-21,570,,,,
-23,-22,1315,,,,
56,-21,1298,,,,
25,-8,1380,,,,
34,-31,1305,,,,
69,-35,676,,,,
56,-34,823,,,,
33,5,1316,,,,
49,23,1352,,,,
38,-5,1064,,,,
92,-70,376,,,,
40,-25,632,,,,
84,-33,1061,,,,
18,19,1387,,,,
93,-16,864,,,,
91,-1,957,,,,
59,-48,522,,,,
69,5,915,,,,
94,-11,533,,,,
59,-9,949,,,,
46,-39,735,,,,
95,-30,675,,,,
61,-20,800,,,,
88,-28,1025,,,,
117,-45,1088,,,,
104,-26,860,,,,
85,-17,778,,,,
106,-19,955,,,,
118,-20,621,,,,
77,4,1183,,,,
73,-3,910,,,,
97,-10,935,,,,
55,20,1379,,,,
83,31,793,,,,
53,10,682,,,,
40,16,867,,,,
56,11,885,,,,
49,3,1002,,,,
17,26,1110,,,,
23,19,1147,,,,
48,-2,1059,,,,
49,-12,994,,,,
44,-46,1181,,,,
74,-44,866,,,,
19,-25,818,,,,
42,18,838,,,,
15,0,1209,,,,
36,-3,1040,,,,
44,4,987,,,,
46,-6,1064,,,,
21,3,1252,,,,
40,-11,1284,,,,
36,-40,931,,,,
38,-35,663,,,,
30,-7,1064,,,,
16,-10,1258,,,,
20,-14,1096,,,,
50,-58,571,,,,
72,-44,781,,,,
21,-50,865,,,,
32,-31,1060,,,,
70,-11,948,,,,
40,-16,1109,,,,
53,-22,1629,,,,
63,-21,1096,,,,
62,-26,1080,,,,
23,-31,872,,,,
77,-56,1163,,,,
64,-78,1159,,,,
20,-29,1513,,,,
39,-54,1222,,,,
47,-72,1238,,,,
65,-31,1382,,,,
33,-17,1363,,,,
43,-58,870,,,,
22,-31,1282,,,,
85,-93,642,,,,
28,-64,928,,,,
23,-48,579,,,,
78,-63,889,,,,
77,-49,1590,,,,
